Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
FDDI Observation Identifier (NCHS)	PHVS_FDDIObservation Identifier_NCHS	2.16.840.1.114222.4.11.7854	3	The value set contains the list of values used to support reporting from a funeral director to an Electronic Death Registration System.	Published	03/19/2020	Updated to include funeral director death report use case

Concept Code	Concept Name	Preferred Concept Name	Preferred Alternate Code	Code System OID	Code System Name	Code System Code	Code System Version	HL7 Table 0396 Code
39016-1	Age @ Death Time Patient	Age at death		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PHC1421	Age edit flag	Age edit flag		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
21842-0	Birthplace	Birth place		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94131-0	Body disposition facility address	Place of Disposition Address		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94130-2	Body disposition facility name	Place of Disposition Name		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80905-3	Body disposition method	Method of Disposition		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PHC1424	Education edit flag	Education edit flag		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
80909-5	Father's last name	Father’s surname		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94133-6	Funeral facility address	Funeral Facility Address		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94132-8	Funeral facility name	Funeral Facility Name		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
94135-1	Funeral service licensee ID Facility	Funeral Service Licensee License Number		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
80913-7	Highest level of education [US Standard Certificate of Death]	Decedent Education level		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21844-6	Hx of Usual industry	Industry		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
21843-8	Hx of Usual occupation	Occupation		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PHC1426	Marital status edit flag	Marital status edit flag		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
94134-4	Personnel Funeral service licensee	Name of Funeral Service Licensee or other agent		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
PHC1432	Sex edit flag	Sex edit flag		2.16.840.1.114222.4.5.274	PHIN VS (CDC Local Coding System)	PH_PHINVS_CDC	20200526	CDCPHINVS
80910-3	State or province of birth	Birth Certificate State/Province		2.16.840.1.113883.6.1	LOINC	PH_LOINC	2.68	LN
